Delivery Date,Delivery Hour,Delivery Interval,Repeated Hour Flag,Settlement Point Name,Settlement Point Type,Settlement Point Price
01/04/2022,20,2,N,LZ_SOUTH,LZ,24.5
01/04/2022,20,3,N,LZ_SOUTH,LZ,23.82
01/04/2022,20,4,N,LZ_SOUTH,LZ,23.49
01/04/2022,21,1,N,LZ_SOUTH,LZ,23.8
01/04/2022,21,2,N,LZ_SOUTH,LZ,23.8
01/04/2022,21,3,N,LZ_SOUTH,LZ,23.82
01/04/2022,21,4,N,LZ_SOUTH,LZ,23.23
01/04/2022,22,1,N,LZ_SOUTH,LZ,22.83
01/04/2022,22,2,N,LZ_SOUTH,LZ,23.43
01/04/2022,22,3,N,LZ_SOUTH,LZ,22.89
01/04/2022,22,4,N,LZ_SOUTH,LZ,21.43
01/04/2022,23,1,N,LZ_SOUTH,LZ,20.34
01/04/2022,23,2,N,LZ_SOUTH,LZ,20.84
01/04/2022,23,3,N,LZ_SOUTH,LZ,21.86
01/04/2022,23,4,N,LZ_SOUTH,LZ,17.41
01/04/2022,24,1,N,LZ_SOUTH,LZ,14.68
01/04/2022,24,2,N,LZ_SOUTH,LZ,11.74
01/04/2022,24,3,N,LZ_SOUTH,LZ,12.11
01/04/2022,24,4,N,LZ_SOUTH,LZ,16.23
01/05/2022,1,1,N,LZ_SOUTH,LZ,13.96
01/05/2022,1,2,N,LZ_SOUTH,LZ,15.52
01/05/2022,1,3,N,LZ_SOUTH,LZ,14.38
01/05/2022,1,4,N,LZ_SOUTH,LZ,16.6
01/05/2022,2,1,N,LZ_SOUTH,LZ,19.37
01/05/2022,2,2,N,LZ_SOUTH,LZ,19.92
01/05/2022,2,3,N,LZ_SOUTH,LZ,20.02
01/05/2022,2,4,N,LZ_SOUTH,LZ,20.14
01/05/2022,3,1,N,LZ_SOUTH,LZ,20.21
01/05/2022,3,2,N,LZ_SOUTH,LZ,20.06
01/05/2022,3,3,N,LZ_SOUTH,LZ,20.59
01/05/2022,3,4,N,LZ_SOUTH,LZ,20.23
01/05/2022,4,1,N,LZ_SOUTH,LZ,19.36
01/05/2022,4,2,N,LZ_SOUTH,LZ,18.3
